,quote,fake
218,"“judge rules over 200,000 biden votes are illegitimate in wisconsin.”",1
219,“2 sitting senators counting ballots” in Georgia.,1
220,“texas has launched ‘operation lone star’ to finish the border wall themselves.”,1
221,"gas costs $7.89 at a station in albuquerque, new mexico.",1
222,"under h.r. 1, the federal election commission “for the first time ever, instead of being an equal number of republicans and democrats (would be) three of one side and two of the other.""",1
223,the movie “i am legend” was based in the year 2021 and people turned into zombies “because of the wrong vaccine.”,1
224,“jamaica has not recorded any case of the coronavirus.”,1
225,aluminum “is in the vaccine” and will hurt the brain.,1
226,"“joe biden and kamala harris forced our troops to sleep on the floor of a garage, yet has authorized $89 million for hotel rooms for illegal immigrants.”",1
227,"“maybe (the covid-19 vaccine) doesn't work, and they're simply not telling you that.”",1
229,"president joe biden’s american relief plan “has a lot of money in it for schools, but if you really look at it … it says that the school money is going to go out until the year 2028.”",0
231,“there is racism physically built into some of our highways.”,0
232,"joe biden is “withholding $150 million in aid from ukraine” to “pressure ukraine to drop all criminal investigations into him and his son, hunter.”",1
233,“marjorie taylor greene just scrubbed her twitter feed of all things gaetz.”,1
235,h.r. 1 would “prevent removal of ineligible voters from registration rolls.”,1
236,voting-rights legislation proposed by democrats in congress called h.r. 1 “would force states to restore the voting rights of convicted felons—including violent felons convicted of murder or rape.”,1
239,“detroit actually has the lowest infection rate in the state of michigan. we’re half of that of the surrounding suburbs.”,1
240,“americans are paying the highest price in the world for remdesivir because the trump administration is allowing gilead sciences to jack up the prices on this #covid19 treatment.”,1
241,"raphael warnock defended the “hatred” of jeremiah wright, the pastor who said “not god bless america, god damn america,” and gave wright “an award for truth telling.”",1
242,“cnn is now saying that trump will win!”,1
243,"her health care plan would ""ensure americans with preexisting conditions are protected.""",1
244,the denver broncos signed colin kaepernick.,1
246,that shutdowns are “ineffective” and that we now know that covid-19 is not commonly spread “by someone going to work.”,1
247,"""kyle rittenhouse used his covid-19 stimulus check to purchase the ar-15 he used in the fatal kenosha shooting.""",1
248,"“we passed one of the first (covid-19) bills in the entire country, empowering gov evers to act.”",1
249,movers carrying boxes out of the White House as President Trump discusses 2020 election results.,1
250,dominion and smartmatic “have closed up shop” and executives are “on the run.”,1
251,“pennsylvania just banned alcohol sales.”,1
252,“Biden’s inaugural stage being built on the White House North Lawn.”,1
253,"donald trump’s sister tweeted, “my brother don won this election and will fight this to the very end.”",1
254,democrats “spent 4 years refusing to acknowledge trump’s 2016 victory.”,1
255,north carolina gov roy cooper’s “daughter is having a big wedding today. 500 people. then going to lock you down on monday.”,1
256,"“in certain swing states, there were more votes than people who voted, and in big numbers.”",1
257,“moderna chief medical officer admits: mrna alters dna.”,1
258,“jay-z and beyonce are buying back dmx’s masters for $10 million and giving to his kids for free.”,1
259,“mcdonald’s and coke have both announced no whites will be hired in top positions.”,1
260,raphael warnock supports boycotts of georgia to protest voting law.,1
261,“something less than 6% ... of this proposal that president biden has put forward is actually focused on infrastructure.”,1
262,"a serial killer is targeting women in hot springs, ark.",1
264,"that biden’s ban on new federal leases will kill 120,000 texas jobs.",0
265,“84% of all new electric capacity planned to come onto the electric grid this year is clean energy.”,1
266,joe biden canceled the keystone pipeline because warren buffett “donated $58 million” to his campaign.,1
267,"""in march 2020 the united states deployed 30,000 troops to europe to ... free child-trafficked children and arrest deep state cabal members.""",1
268,joe biden is “following through with a fracking ban.”,1
269,"soybeans dropped 70 cents and corn 50 cents per bushel in two days, causing farmers to lose big money, “thanks to biden’s executive orders.”",1
270,“biden invested the entire family fortune in ukraine gas and oil. then shuts down keystone pipeline. starting to get the picture.”,1
271,“the u.s. senate cannot convict a former president.”,1
272,"facebook recently logged users out to track their “off facebook activity” involving bank accounts, emails and other apps.",1
273,"""while he was president, president trump never encouraged americans to get vaccinated.""",1
274,republicans are “trying to create a fake unemployment insurance crisis.”,1
275,"donald trump will be re-inaugurated as president on march 4, 2021.",1
276,"""the fastest-growing population in the united states is hispanic.""",1
277,"he requested “10,000 national guardsmen” for his jan. 6 rally, but nancy pelosi “rejected it.”",1
278,rachel levine supports “government-funded sex reassignment surgery without parental notification or authorization” for all children.,1
279,a photo at cpac shows evangelical leaders praying over a golden statue of former president donald trump.,1
280,"“for the first time in american history, if you're seeking asylum ... you can't do it from the united states. … you’ve got to seek asylum from abroad.”",1
281,“too many dead people voted” in michigan,1
282,“biden signs 45% capital gains tax. kiss your inheritance goodbye.”,1
283,death reports in federal database show the fatal risk of covid-19 vaccines.,1
284,"“so california is requiring signature verification for gavin newsom’s recall, but didn’t require it for the mail in ballots.”",1
285,"joe biden planned a winter storm as ""warfare, an attack on texas by altering the jet stream.""",1
286,"""joe biden admits he is governing like a 'dictator.'""",0
287,"“the united states is the only industrialized, modernized country that does not already have a paid family medical leave program in place.”",1
288,assembly republicans “have come to the table” and were part of “give and take” compromise on a coronavirus bill.,1
289,bill gates said “at least 3 billion people need to die” from the planet.,0
290,"joe biden “has issued more executive fiats than anyone in such a short period of time, ever, more than obama, more than trump, more than anyone.”",1
291,biden's rolex belonged to his late son beau.,1
292,"""the process to distribute the vaccine, particularly outside of nursing homes and hospitals out into the community as a whole, did not really exist when we came into the white house.""",1
293,jon ossoff is “a socialist.”,1
294,george soros was arrested in philadelphia for election interference.,1
295,Time magazine cover with Barack Obama that says “Treason.”,1
296,"“clerks in milwaukee and dane counties colluded to (add) nearly 250,000 individuals to the ‘indefinitely confined’ voter list.”",1
297,"“at least 450,000 ballots in the key states ... miraculously only have a mark for joe biden on them, and no other candidate.""",1
298,"in michigan “we have over-votes in numerous precincts of 150%, 200%, and 300%.”",1
299,"“666,000 teachers have been laid off already since march.""",1
300,“nasa admits that man-made climate change is a hoax!”,1
301,ron johnson didn’t “show up” for a day of impeachment hearings.,1
302,the “USS Al Gore Global Warming Research Vessel” covered in ice.,1
303,jan. 6 capitol riot “didn’t seem like an armed insurrection.”,1
304,nabisco is closing plants in georgia and new jersey and “moving to mexico” because of biden’s election.,1
305,joe biden’s order stopping the keystone pipeline “made oil more expensive for us to use.”,1
306,"“you may not have stayed in a hotel in the past year, but illegals arriving since biden’s inauguration, they get to stay free of charge.”",1
307,shredded ballots were found in dell boxes in georgia,1
308,"""they just happened to find 50,000 ballots (in the georgia u.s. senate runoff elections) late last night.""",1
309,georgia secretary of state brad raffensperger “faces espionage charges.”,1
311,"people protesting the 2020 election in Washington D.C. on Jan. 5, 2021.",1
312,"“dems pass bill to vaccinate children without parental knowledge, consent.”",1
314,the number of spoiled coronavirus vaccines in north carolina is “very small ... in the tens.”,1
315,donald trump offered his hotel “to our troops to sleep in after they were put in a car garage.”,1
318,a video shows joe biden boasted in 2006 “about voting for ‘700 miles of fence’” and “talking about immigration in some entirely different ways than he does today.”,1
319,that it is safe to play what New York is considering high-risk sports.”,1
320,"“i believe, without having definitive proof, that the military is in charge of our country ... because joe biden is an illegal president.”",1
321,"the paris climate agreement is “bad for america,” because it ""does nothing to hold real polluters, like communist china and india, accountable.""",0
322,"""we put $330 million in general school aids — the largest in more than a decade.""",1
323,"joe biden was sworn in on a ""masonic/illuminati bible.""",1
324,maxine waters said trump supporters are “not welcome here” and “we must welcome everyone who crosses our borders.”,1
325,“the vice president has the power to reject fraudulently chosen electors.”,1
326,“president-elect biden steps down as president-elect.”,1
328,on whether he’ll object to the electoral college results,1
329,new york “is trying to pass a bill that would allow them to round up non mask wearers and people who don’t want to take the vaccine into concentration camps. then with a court order they can force vaccinate you.”,0
330,“almost 40% of borrowers with student loan debt didn't finish their degree.”,1
331,"after the capitol insurrection, “one of the first people arrested was a leader of antifa.""",1
332,joe biden “is trying to shut fl’s border.”,1
333,“innocent lives will be saved” by ending taxpayer funding of planned parenthood.,1
335,"“pritzker’s hierarchy of vaccine priorities” puts prisoners, politicians and college students ahead of “individuals with high-risk health factors, and everyone else.”",0
336,"“we know mask mandates work. there’s enough evidence out there between counties that have done it and counties that haven’t.""",1
337,"mayor muriel bowser “ordered all hotels, restaurants, grocery stores, gas stations, and convenience stores to close jan. 4, 5 and 6 to discourage trump supporters from gathering in d.c.”",1
338,wisconsin legislature “will likely decertify state and award to president trump.”,1
339,"“you had (4,925) out-of-state voters… in georgia.”",1
340,"after a “major water main break,” georgia election workers counted “18,000 ballots, all for biden” that they pulled from suitcases and with no election observers present.",0
341,“congress has one job here: to count electoral votes that have in fact been cast by any state.”,1
342,“people coming from California to Washington DC” to protest election results.,1
343,"covid-19 vaccines have “experimental technology never before used on humans” and that some “contain nanochips which can electronically track recipients.""",1
344,"south dakota ""did have tragedies and we did have losses. but we also got through (the pandemic) better than virtually every other state.""",1
345,“president biden is raising the prices of insulin and epi-pens on those with high costs and the uninsured.”,1
346,“manipulated video used in house impeachment looks to have violated house rules”,1
348,"""the committee that advises govevers and his department tasked with leading during this pandemic is recommending allowing prisoners to receive the vaccine before 65 year old grandma?”",1
349,raising the national minimum wage to $15 per hour “would destroy up to 3.7 million jobs.”,0
350,“no state gets back less from washington than new york state.”,1
351,president joe biden sparked a migrant caravan from honduras and questioned the loyalty of u.s. troops at the inauguration.,1
352,photos show joe biden with a “chinese handler.”,1
353,unproven voter fraud claims didn’t play “any role” in the capitol riot.,1
354,"“inauguration cancelled, trump remains in office.”",1
355,a photo shows armed soldiers protecting joe biden’s inauguration.,1
356,joe biden stayed silent about violence at black lives matter protests.,1
357,that “the way to reach ‘herd immunity’ is for >70% of the population to get vaccinated.”,1
358,“we won georgia easily. we won it by hundreds of thousands of votes.”,0
359,"a registered nurse in nashville, tenn., developed bell’s palsy after receiving the covid-19 vaccine.",1
360,"“in my state, as in many other states, we have governors who are closing down businesses again.”",1
361,"north carolina gov roy cooper ""has not left the governor's mansion since the start of the #covid19 crisis.""",1
362,"the christmas day explosion in nashville, tenn., was the result of a “missile strike.”",1
363,news outlets reported that the nashville bomber died of covid-19.,1
364,the nashville bombing was an attempt to stop an at&t audit into dominion software and cover up election corruption.,1
365,cornell university professor robert oswald said “covid-19 was imaginary and fictitious.”,1
366,a recent study found no asymptomatic or presymptomatic spread of covid.,1
367,“dr fauci lied about masks in march.”,1
368,Biden claims 13 million more votes than there were eligible voters who voted in 2020 election.”,1
369,"""the clinton foundation folded.”",1
370,"gorilla glue tweeted, “do not use our products on your f------ hair.”",1
371,"""the biden family is so heavily invested in oil and energy in other countries.""",1
373,"the covid-19 vaccine could lead to prion diseases, alzheimer’s, als and other neurodegenerative diseases.",1
374,“i have been very clear with daca. even in my campaign six years ago i stood for those dreamers.”,1
376,"due to differing lockdown orders, new york has more covid-19 cases, deaths, hospitalizations and job losses than florida, and new york also lags on vaccinations.",1
377,“i have never sued a nun — any nuns.”,1
378,“subsidizing investment in wind has pushed gas and nuclear out. now we live with the consequences.”,0
379,joe biden said a racial slur.,0
380,"in the american rescue plan, “just about 1% of the money is for vaccines.”",1
381,"the shutdown of the keystone pipeline project will mean “nearly 2,000 (union jobs lost) with wisconsin companies”",1
382,insulin prices rose “with the swipe of (joe biden’s) pen.”,1
383,"hr 1 will allow members of congress to draw a second salary “worth an estimated $600,000 per year!”",1
384,a video captures sound from the surface of mars,0
385,"“just for the record, the biden administration is separating children and parents.”",1
387,"president joe biden canceled trump’s “child sex ring operation, which saw thousands of arrests last year.”",1
388,"“for the month of february, illinois has been the vaccination leader among the 10 most populous states in the country.”",1
389,"only nancy pelosi is “responsible for what happened at the capitol” on jan. 6, “security at the capitol is her job.”",1
390,nancy pelosi explains how democrats demonize political opponents through the “wrap-up smear.”,1
391,"coca-cola ceo james quincey said, “a few right winged nuts won’t affect our bottom line.”",0
392,"joe biden tweeted, “the way white people talk leaving minorities confused.”",1
393,“antifa is the culprit” in the capitol riot.,0
394,"""it takes quite a while on election day to load those ballots, which is why we have the 1 a.m. or 3 a.m. ballot dumping in milwaukee.""",1
395,“coronavirus vaccinations seem to be causing 50 times the adverse events of flu vaccinations after just the first of two shots.”,1
396,Democratic lawmakers wearing clothing and masks with the Nazi swastika.,0
397,"“it wasn’t all women that lost jobs (in the december jobs report), it was mostly black and latina women. in fact, white women gained employment.”",1
398,"Rep. Lauren Boebert with Capitol rioters before she gave them a tour of the building ""one day before the insurrection.""",1
399,“instagram has been limiting our posts so that no more than 7% of our friends see our posts.”,1
400,hr 1 “automatically registers every welfare recipient to vote.”,0
401,al gore said in 2009 that “the north pole will be ice-free in the summer by 2013 because of man-made global warming.”,1
402,"the $1.9 trillion relief package is “about a bridge for chuck schumer, a tunnel for nancy pelosi.”",1
403,“all of the science and data say it’s perfectly safe to have teachers and students in the classroom.”,0
404,"when donald trump lost the iowa caucus to ted cruz in 2016, ""he immediately cried that cruz cheated.”",1
405,"donald trump’s book “the art of the deal” advises: “never admit defeat. you win. if you don’t win, claim they cheated.”",1
406,“biden wants a nationwide lockdown to combat a virus that has a 99%+ survival rate.”,1
407,"jill biden said, “whatever is on hunter’s laptop is not important.”",0
408,my 2018 election was the first time speaker robin vos has lost a republican-held seat,1
409,“the columbia school buildings in my district have the lowest test scores in all of boone county.”,0
410,joe biden “wants to get rid of something called ‘stepped up basis’” that reduces inheritance taxes.,1
411,"counting ballots for weeks after election day “is totally inappropriate, and i don't believe that's by our laws.""",1
412,sen. kamala harris “may have broken laws” when she visited a voting site in ohio,1
413,antifa provoked the shooting of ashli babbitt at the capitol.,1
